Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow
31,14.3,14.3,14.2,3.8,0.0,5,39.0,5,9,17.0,0.0,94.0,1005.0,1005.0,8.0,8.0,1.0,1.0
0,9.6,9.6,8.4,5.468231522922462,6.2,15,50.0,7,15,20.0,28.0,58.0,1013.1,1016.3,4.4474612602152455,4.509930082924903,1.0,0.0
5,9.9,9.9,0.0,5.468231522922462,7.6111775206611565,11,28.0,11,11,11.0,11.0,47.0,1012.6,1012.4,4.0,2.0,0.0,1.0
43,12.3,12.3,0.0,5.468231522922462,7.6111775206611565,11,37.0,8,8,15.0,20.0,57.0,1019.8,1021.0,4.4474612602152455,4.509930082924903,0.0,0.0
37,10.1,10.1,0.0,3.0,9.8,13,40.03523007167319,13,8,20.0,11.0,32.0,1016.4,1016.4,2.0,1.0,0.0,0.0
39,15.9,15.9,0.0,4.4,7.6111775206611565,4,30.0,9,1,15.0,20.0,63.0,1016.8,1013.3,1.0,4.509930082924903,0.0,0.0
17,8.2,8.2,22.5,5.468231522922462,7.6111775206611565,10,39.0,9,2,6.0,15.0,45.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,8.0,1.0,0.0
40,-1.7,-1.7,0.0,5.468231522922462,7.6111775206611565,6,20.0,3,6,0.0,9.0,46.0,1031.3,1026.4,4.4474612602152455,4.509930082924903,0.0,0.0
28,10.4,10.4,0.0,6.4,11.1,3,50.0,5,5,22.0,24.0,29.0,1022.7,1019.3,3.0,6.0,0.0,0.0
47,18.2,18.2,0.0,5.468231522922462,7.6111775206611565,4,44.0,3,4,17.0,35.0,67.0,1021.0,1015.3,4.4474612602152455,4.509930082924903,0.0,0.0
38,19.1,19.1,0.0,9.2,7.9,1,37.0,10,0,13.0,26.0,54.0,1021.4,1019.9,7.0,7.0,0.0,0.0
7,11.7,11.7,0.0,3.6,6.9,0,56.0,11,4,6.0,13.0,62.0,1018.7,1013.3,7.0,4.0,0.0,1.0
43,14.0,14.0,0.2,5.468231522922462,7.6111775206611565,11,50.0,15,8,15.0,26.0,86.0,1006.8,1008.6,4.4474612602152455,4.509930082924903,0.0,1.0
40,4.9,4.9,1.6,5.468231522922462,7.6111775206611565,7,50.0,3,14,20.0,20.0,55.0,1017.3,1016.8,4.4474612602152455,4.509930082924903,1.0,0.0
35,14.5,14.5,0.0,6.2,9.9,13,50.0,12,15,17.0,24.0,42.0,1012.3,1011.5,6.0,4.0,0.0,0.0
39,25.0,25.0,0.6,12.6,10.7,4,41.0,1,1,20.0,33.0,55.0,1013.7,1011.4,6.0,1.0,0.0,0.0
17,15.3,15.3,0.0,5.468231522922462,7.6111775206611565,7,31.0,0,6,6.0,15.0,39.0,1022.4,1019.1,4.4474612602152455,4.509930082924903,0.0,0.0
28,21.9,21.9,0.0,10.9,9.3,9,35.0,1,4,13.0,9.0,18.0,1014.1,1011.7,3.0,4.509930082924903,0.0,0.0
32,12.6,12.6,19.0,2.4,1.9,3,54.0,5,5,13.0,17.0,78.0,1008.0,1002.7,8.0,7.0,1.0,1.0
6,9.0,9.0,0.0,6.6,7.6111775206611565,10,56.0,10,10,30.0,33.0,38.0,1022.3,1020.1,4.4474612602152455,4.509930082924903,0.0,0.0
8,20.5,20.5,0.0,8.8,11.3,10,35.0,10,2,17.0,20.0,47.0,1013.4,1009.7,1.0,2.0,0.0,0.0
18,12.19403438096892,12.19403438096892,2.3609181499166656,12.4,10.4,11,48.0,13,8,13.0,26.0,51.5391158755046,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
42,11.9,11.9,0.0,4.0,9.1,1,24.0,1,4,13.0,9.0,33.0,1021.9,1019.3,3.0,7.0,0.0,0.0
34,4.1,4.1,0.0,2.8,7.6111775206611565,5,31.0,3,5,0.0,20.0,28.0,1027.1,1023.5,4.4474612602152455,4.509930082924903,0.0,0.0
0,4.7,4.7,0.0,1.0,7.6111775206611565,12,26.0,3,15,0.0,11.0,47.0,1028.2,1024.3,4.4474612602152455,4.509930082924903,0.0,0.0
5,2.4,2.4,0.0,5.468231522922462,7.6111775206611565,15,22.0,1,15,4.0,13.0,75.0,1034.7,1033.4,8.0,7.0,0.0,0.0
22,8.6,8.6,0.0,1.8,7.0,7,57.0,3,6,17.0,31.0,65.0,1014.0,1010.9,7.0,4.0,0.0,1.0
39,24.5,24.5,0.0,8.4,10.7,1,43.0,1,1,28.0,33.0,65.0,1019.7,1016.5,2.0,2.0,0.0,0.0
20,15.8,15.8,0.0,8.0,10.5,13,30.0,13,14,9.0,15.0,17.0,1016.1,1014.3,0.0,5.0,0.0,0.0
5,4.8,4.8,0.0,5.468231522922462,7.6111775206611565,9,30.0,8,0,13.0,20.0,67.0,1036.1,1033.8,0.0,5.0,0.0,0.0
9,15.5,15.5,0.0,4.6,10.8,4,43.0,1,4,13.0,24.0,43.0,1015.6,1013.0,6.0,3.0,0.0,0.0
35,4.2,4.2,6.8,5.468231522922462,7.6111775206611565,13,48.0,14,14,17.0,30.0,61.0,1016.4,1015.5,4.0,6.0,1.0,0.0
28,11.1,11.1,0.0,8.0,10.7,15,35.0,11,13,7.0,15.0,26.0,1013.5,1010.3,2.0,4.509930082924903,0.0,1.0
20,8.5,8.5,0.0,8.8,10.9,8,39.0,8,11,15.0,15.0,25.0,1022.1,1019.3,2.0,1.0,0.0,0.0
4,15.2,15.2,0.0,5.468231522922462,7.6111775206611565,0,35.0,0,0,2.0,22.0,55.0,1012.7,1008.6,4.4474612602152455,4.509930082924903,0.0,1.0
7,19.5,19.5,3.2,3.8,1.6,5,24.0,12,1,6.0,13.0,71.0,1019.8,1016.8,5.0,6.0,1.0,0.0
30,4.8,4.8,0.0,5.468231522922462,7.6111775206611565,5,20.0,3,4,0.0,7.0,38.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
18,12.19403438096892,12.19403438096892,2.3609181499166656,4.6,0.0,10,39.0,10,8,22.0,28.0,51.5391158755046,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
11,19.7,19.7,0.0,5.468231522922462,7.6111775206611565,13,40.03523007167319,3,9,14.043425914971502,18.662656778887342,51.5391158755046,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
17,-1.2,-1.2,0.0,5.468231522922462,7.6111775206611565,1,13.0,2,1,6.0,2.0,81.0,1030.7,1028.7,4.4474612602152455,4.509930082924903,0.0,0.0
21,5.4,5.4,0.0,2.4,10.7,11,52.0,11,11,31.0,28.0,18.0,1022.1,1019.9,1.0,4.509930082924903,0.0,0.0
15,14.4,14.4,0.0,5.6,12.5,6,31.0,3,9,13.0,19.0,44.0,1017.9,1012.8,1.0,3.0,0.0,0.0
11,19.6,19.6,0.0,5.8,10.4,11,72.0,12,8,20.0,41.0,62.0,1005.3,1004.6,5.0,3.0,0.0,0.0
19,13.4,13.4,0.0,5.2,4.8,3,59.0,3,3,30.0,33.0,61.0,1018.1,1013.5,7.0,1.0,0.0,0.0
44,-1.3,-1.3,0.0,1.8,9.0,11,15.0,5,15,6.0,9.0,58.0,1031.7,1028.9,1.0,1.0,0.0,0.0
32,4.1,4.1,0.0,2.4,9.6,0,35.0,1,13,7.0,7.0,35.0,1023.9,1021.3,0.0,3.0,0.0,0.0
38,13.1,13.1,0.0,4.0,8.0,3,28.0,14,6,17.0,15.0,33.0,1018.0,1012.7,3.0,5.0,0.0,0.0
17,7.7,7.7,0.0,5.468231522922462,7.6111775206611565,6,31.0,6,7,6.0,17.0,55.0,1017.6499397983052,1015.2558888309618,3.0,4.509930082924903,0.0,0.0
34,5.5,5.5,0.0,4.9,7.6111775206611565,14,46.0,6,14,11.0,26.0,38.0,1013.5,1010.8,4.4474612602152455,4.509930082924903,0.0,0.0
22,5.2,5.2,0.0,2.6,9.6,3,37.0,3,6,11.0,19.0,39.0,1018.9,1014.3,7.0,5.0,0.0,1.0
46,9.7,9.7,26.4,5.468231522922462,7.6111775206611565,11,43.0,13,12,11.0,22.0,60.0,1013.0,1013.9,4.4474612602152455,4.509930082924903,1.0,1.0
26,13.6,13.6,0.0,5.468231522922462,7.6111775206611565,6,26.0,13,7,13.0,17.0,37.0,1021.3,1017.1,4.4474612602152455,4.509930082924903,0.0,0.0
14,14.8,14.8,0.6,5.468231522922462,7.6111775206611565,2,52.0,15,8,13.0,15.0,67.0,1025.5,1022.4,4.4474612602152455,4.509930082924903,0.0,1.0
